From Position,To Position,Expected (um),Actual (um),Difference (um),Feed
"(-7.000000000,0.000000000)","(0.001000000,0.000000000)",1,2.947063171,1.947063171,50
"(0.001000000,0.000000000)","(0.002000000,0.000000000)",1,1.324202497,0.324202497,50
"(0.002000000,0.000000000)","(0.001000000,0.000000000)",1,0.947177088,-0.052822912,50
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1,1.716676845,0.716676845,50
"(0.000000000,0.000000000)","(0.000000000,0.001000000)",1,2.948005388,1.948005388,50
"(0.000000000,0.001000000)","(0.000000000,0.002000000)",1,2.185358535,1.185358535,50
"(0.000000000,0.002000000)","(0.000000000,0.001000000)",1,1.970507707,0.970507707,50
"(0.000000000,0.001000000)","(0.000000000,0.000000000)",1,2.121842258,1.121842258,50
"(0.000000000,0.000000000)","(0.000707000,0.000707000)",0.999848989,2.444252178,1.444403189,50
"(0.000707000,0.000707000)","(0.001414000,0.001414000)",0.999848989,2.787920685,1.788071696,50
"(0.001414000,0.001414000)","(0.000707000,0.000707000)",0.999848989,2.839523164,1.839674176,50
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848989,2.388950221,1.389101232,50
"(0.000000000,0.000000000)","(-0.000707000,0.000707000)",0.999848989,2.390011814,1.390162825,50
"(-0.000707000,0.000707000)","(0.000000000,0.001414000)",0.999848989,1.824468541,0.824619552,50
"(0.000000000,0.001414000)","(0.000707000,0.000707000)",0.999848989,1.910534627,0.910685638,50
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848989,2.65671839,1.656869401,50
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1,2.079537205,1.079537205,50
"(0.001000000,0.000000000)","(0.000293000,0.000707000)",0.999848989,1.614771255,0.614922266,50
"(0.000293000,0.000707000)","(0.001000000,0.001414000)",0.999848989,1.623662376,0.623813388,50
"(0.001000000,0.001414000)","(0.001707000,0.000707000)",0.999848989,1.375221468,0.375372479,50
"(0.001707000,0.000707000)","(0.001000000,0.000000000)",0.999848989,2.557510597,1.557661608,50
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1,2.817351194,1.817351194,50
"(0.000000000,0.000000000)","(-0.000707000,-0.000707000)",0.999848989,2.089544068,1.08969508,50
"(-0.000707000,-0.000707000)","(0.000293000,-0.000707000)",1,2.267345486,1.267345486,50
"(0.000293000,-0.000707000)","(0.001293000,-0.000707000)",1,2.926327533,1.926327533,50
"(0.001293000,-0.000707000)","(0.000586000,0.000000000)",0.999848989,3.711821334,2.711972345,50
"(0.000586000,0.000000000)","(0.000000000,0.000000000)",0.586,3.655636813,3.069636813,50
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1,1.0740254,0.0740254,50
"(0.001000000,0.000000000)","(0.002000000,0.000000000)",1,3.741319852,2.741319852,50
"(0.002000000,0.000000000)","(0.001000000,0.000000000)",1,2.645476015,1.645476015,50
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1,2.332850393,1.332850393,50
"(0.000000000,0.000000000)","(0.000000000,0.001000000)",1,3.0679564,2.0679564,50
"(0.000000000,0.001000000)","(0.000000000,0.002000000)",1,2.592969213,1.592969213,50
"(0.000000000,0.002000000)","(0.000000000,0.001000000)",1,2.93872586,1.93872586,50
"(0.000000000,0.001000000)","(0.000000000,0.000000000)",1,2.294578195,1.294578195,50
"(0.000000000,0.000000000)","(0.000707000,0.000707000)",0.999848989,2.27435869,1.274509701,50
"(0.000707000,0.000707000)","(0.001414000,0.001414000)",0.999848989,2.422235466,1.422386478,50
"(0.001414000,0.001414000)","(0.000707000,0.000707000)",0.999848989,2.62566632,1.625817331,50
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848989,2.785161922,1.785312934,50
"(0.000000000,0.000000000)","(-0.000707000,0.000707000)",0.999848989,2.889686241,1.889837253,50
"(-0.000707000,0.000707000)","(0.000000000,0.001414000)",0.999848989,1.655907661,0.656058672,50
"(0.000000000,0.001414000)","(0.000707000,0.000707000)",0.999848989,1.700970745,0.701121757,50
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848989,2.740880273,1.741031284,50
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1,2.334939299,1.334939299,50
"(0.001000000,0.000000000)","(0.000293000,0.000707000)",0.999848989,3.987248524,2.987399535,50
"(0.000293000,0.000707000)","(0.001000000,0.001414000)",0.999848989,4.057203926,3.057354937,50
